lambda_validity,n,validity,safe_rate,availability_violation,score_before,score_after,soft_before,soft_after,edits,norm_l1,runtime_s,delta_soft
1.0,90,0.022222222222222223,1.0,0.0,0.2882227327640463,0.4103008988685402,0.3928558479268982,0.4103008988685402,1.6,0.1470066299073365,50.666420800145715,0.0174
2.0,90,0.03333333333333333,1.0,0.0,0.2882227327640463,0.44294380956012014,0.3928558479268982,0.44294380956012014,1.8111111111111111,0.22566862110339989,51.86719590006396,0.0501
3.0,90,0.14444444444444443,1.0,0.0,0.2882227327640463,0.5379679237318188,0.3928558479268982,0.5379679237318188,2.3333333333333335,0.4406403024922608,65.43046179995872,0.1451
5.0,90,0.34444444444444444,1.0,0.0,0.2882227327640463,0.6316724229986943,0.3928558479268982,0.6316724229986943,3.188888888888889,0.7132887643757294,80.04261000012048,0.2388
8.0,90,0.5111111111111111,1.0,0.0,0.2882227327640463,0.6984138102016686,0.3928558479268982,0.6984138102016686,3.7888888888888888,1.1148312826615632,97.89299790002406,0.3056
12.0,90,0.6555555555555556,1.0,0.0,0.2882227327640463,0.7194619933695877,0.3928558479268982,0.7194619933695877,4.288888888888889,1.3034451739405712,94.18155989982188,0.3266
