case,age_group,goal,bucket,score_after,soft_score_after,surrogate_after,surrogate_gap,planned_sodium_mg,final_sodium_mg,hard_rule_ids
84,toddler,glycemic_control,B_soft_score_shortfall,0.6497,0.6497,0.6292,-0.020500000000000074,322.9,316.1,
85,toddler,glycemic_control,B_soft_score_shortfall,0.5346,0.5346,0.513,-0.021599999999999953,412.4,335.2,
86,toddler,weight_management,B_soft_score_shortfall,0.4293,0.4293,0.4714,0.04209999999999997,2.9,2.1,
87,toddler,weight_management,B_soft_score_shortfall,0.5267,0.5267,0.5687,0.04200000000000004,1127.0,1114.2,
88,toddler,balanced_nutrition,B_soft_score_shortfall,0.6748,0.6748,0.5939,-0.08089999999999997,323.1,283.4,
89,toddler,glycemic_control,B_soft_score_shortfall,0.6916,0.6916,0.6755,-0.016100000000000003,499.9,306.9,
90,toddler,glycemic_control,C_calibration_gap,0.6914,0.6914,0.7045,0.0131,849.1,875.5,
91,toddler,weight_management,B_soft_score_shortfall,0.602,0.602,0.6345,0.03249999999999997,3392.3,3229.0,
92,toddler,balanced_nutrition,C_calibration_gap,0.6696,0.6696,0.713,0.043399999999999994,631.9,462.3,
94,toddler,balanced_nutrition,B_soft_score_shortfall,0.5071,0.5071,0.494,-0.0131,21.3,45.7,
95,toddler,glycemic_control,B_soft_score_shortfall,0.6901,0.6901,0.6767,-0.013400000000000079,61.4,22.9,
97,toddler,weight_management,B_soft_score_shortfall,0.2714,0.2714,0.2601,-0.011299999999999977,105.4,50.5,
98,toddler,balanced_nutrition,B_soft_score_shortfall,0.6247,0.6247,0.6542,0.02949999999999997,245.7,38.6,
100,toddler,balanced_nutrition,B_soft_score_shortfall,0.5785,0.5785,0.5685,-0.010000000000000009,3379.0,1673.2,
103,adult,weight_management,B_soft_score_shortfall,0.4773,0.4773,0.4511,-0.0262,335.9,206.1,
104,adult,weight_management,B_soft_score_shortfall,0.4074,0.4074,0.3766,-0.030799999999999994,285.6,137.8,
105,adult,glycemic_control,B_soft_score_shortfall,0.6637,0.6637,0.691,0.02729999999999999,78.5,177.9,
106,adult,weight_management,B_soft_score_shortfall,0.6871,0.6871,0.6672,-0.01990000000000003,418.1,378.0,
107,adult,balanced_nutrition,B_soft_score_shortfall,0.5314,0.5314,0.5096,-0.02179999999999993,247.3,243.3,
109,adult,weight_management,B_soft_score_shortfall,0.6564,0.6564,0.6407,-0.015699999999999936,48.1,155.2,
110,adult,weight_management,B_soft_score_shortfall,0.6726,0.6726,0.6997,0.027100000000000013,1711.5,733.3,
111,adult,weight_management,B_soft_score_shortfall,0.1412,0.1412,0.1723,0.031100000000000017,95.5,55.1,
113,adult,weight_management,B_soft_score_shortfall,0.6037,0.6037,0.5923,-0.011399999999999966,2309.6,1837.5,
114,adult,balanced_nutrition,C_calibration_gap,0.639,0.639,0.706,0.06699999999999995,387.9,449.2,
115,adult,balanced_nutrition,B_soft_score_shortfall,0.3615,0.3615,0.356,-0.005500000000000005,668.4,666.6,
116,adult,weight_management,B_soft_score_shortfall,0.6766,0.6766,0.6474,-0.029200000000000004,51.6,107.3,
117,adult,weight_management,B_soft_score_shortfall,0.6295,0.6295,0.6341,0.0046000000000000485,28.5,124.3,
119,adult,weight_management,B_soft_score_shortfall,0.4085,0.4085,0.4524,0.04390000000000005,678.7,629.2,
120,adult,balanced_nutrition,C_calibration_gap,0.676,0.676,0.7031,0.027099999999999902,159.2,301.0,
121,adult,weight_management,B_soft_score_shortfall,0.6456,0.6456,0.609,-0.036599999999999966,1228.4,1226.3,
123,adult,weight_management,B_soft_score_shortfall,0.6122,0.6122,0.6093,-0.0029000000000000137,959.0,840.2,
124,adult,weight_management,B_soft_score_shortfall,0.4999,0.4999,0.5119,0.01200000000000001,123.1,25.6,
128,adult,balanced_nutrition,B_soft_score_shortfall,0.6434,0.6434,0.618,-0.025399999999999978,21.4,463.3,
129,adult,glycemic_control,B_soft_score_shortfall,0.6374,0.6374,0.6769,0.03949999999999998,9.6,1233.0,
133,adult,glycemic_control,C_calibration_gap,0.695,0.695,0.7002,0.0052000000000000934,97.2,187.7,
134,adult,balanced_nutrition,B_soft_score_shortfall,0.6974,0.6974,0.6317,-0.06569999999999998,491.7,489.8,
135,adult,glycemic_control,B_soft_score_shortfall,0.3052,0.3052,0.3255,0.020299999999999985,312.0,266.6,
136,adult,balanced_nutrition,B_soft_score_shortfall,0.6371,0.6371,0.6748,0.037699999999999956,63.7,61.3,
137,adult,glycemic_control,B_soft_score_shortfall,0.5758,0.5758,0.5908,0.015000000000000013,166.8,157.2,
139,adult,balanced_nutrition,B_soft_score_shortfall,0.5506,0.5506,0.5721,0.021500000000000075,65.7,64.7,
140,adult,glycemic_control,C_calibration_gap,0.6766,0.6766,0.7009,0.02429999999999999,5.4,304.7,
141,adult,balanced_nutrition,B_soft_score_shortfall,0.4058,0.4058,0.4259,0.020100000000000007,594.6,285.2,
143,adult,balanced_nutrition,B_soft_score_shortfall,0.3041,0.3041,0.2832,-0.020899999999999974,92.9,92.5,
144,adult,weight_management,B_soft_score_shortfall,0.4445,0.4445,0.4789,0.034399999999999986,240.0,76.9,
145,adult,glycemic_control,B_soft_score_shortfall,0.6965,0.6965,0.6988,0.0022999999999999687,68.9,2.5,
147,adult,balanced_nutrition,B_soft_score_shortfall,0.6366,0.6366,0.6107,-0.025900000000000034,15.2,43.8,
148,adult,glycemic_control,B_soft_score_shortfall,0.6981,0.6981,0.6997,0.0015999999999999348,2071.5,498.2,
149,adult,weight_management,C_calibration_gap,0.6765,0.6765,0.7,0.023499999999999965,1202.4,375.0,
151,adult,balanced_nutrition,B_soft_score_shortfall,0.4906,0.4906,0.485,-0.005599999999999994,342.3,70.9,
152,adult,glycemic_control,B_soft_score_shortfall,0.5981,0.5981,0.6244,0.02629999999999999,308.9,308.2,
153,adult,balanced_nutrition,B_soft_score_shortfall,0.4886,0.4886,0.5006,0.012000000000000066,42.2,41.8,
154,adult,glycemic_control,B_soft_score_shortfall,0.632,0.632,0.6567,0.024699999999999944,79.5,57.2,
155,adult,weight_management,B_soft_score_shortfall,0.534,0.534,0.5707,0.036699999999999955,828.3,634.4,
157,adult,weight_management,B_soft_score_shortfall,0.482,0.482,0.4798,-0.0021999999999999797,65.6,0.7,
158,adult,glycemic_control,B_soft_score_shortfall,0.3343,0.3343,0.3542,0.01990000000000003,135.9,127.2,
162,adult,balanced_nutrition,B_soft_score_shortfall,0.652,0.652,0.6696,0.01759999999999995,18.2,47.6,
163,adult,glycemic_control,B_soft_score_shortfall,0.5049,0.5049,0.4699,-0.03500000000000003,612.7,573.2,
