method,age_group,n,validity,usable_validity,safe_rate,score_before,score_after,norm_l1,norm_l2,sparsity,availability_violation,safety_violation,evaluations,runtime_s
dice_genetic,adult,100,0.04,0.04,0.94,0.38687167241839354,0.38687167241839354,0.0,0.0,0.0,0.0,0.06,6001.0,11.594891543979756
dice_genetic,all,300,0.02,0.02,0.7333333333333333,0.31408780366503913,0.31408780366503913,0.0,0.0,0.0,0.0,0.26666666666666666,6001.0,11.581508534998477
dice_genetic,older_adult,100,0.0,0.0,0.76,0.284989092410238,0.284989092410238,0.0,0.0,0.0,0.0,0.24,6001.0,11.602066513001919
dice_genetic,toddler,100,0.02,0.02,0.5,0.2704026461664859,0.2704026461664859,0.0,0.0,0.0,0.0,0.5,6001.0,11.547567548013758
dice_random,adult,100,0.53,0.21,0.94,0.38687167241839354,0.5569555724045065,1.130140582841915,0.8831386770399057,1.93,0.38,0.06,3768.56,0.9643008220009506
dice_random,all,300,0.41,0.17333333333333334,0.7566666666666667,0.31408780366503913,0.45704048985473456,0.9857368336000678,0.7531449139184815,2.0533333333333332,0.35333333333333333,0.24333333333333335,3878.36,0.9723449766713504
dice_random,older_adult,100,0.31,0.13,0.75,0.284989092410238,0.39895479770650966,0.9377053900354396,0.674714577452182,1.9,0.3,0.25,4337.12,1.0465005550091155
dice_random,toddler,100,0.39,0.18,0.58,0.2704026461664859,0.41521109945318735,0.8893645279228491,0.7015814872633568,2.33,0.38,0.42,3529.4,0.9062335530039854
foodsense_de,adult,100,0.17,0.17,1.0,0.38687167241839354,0.5455164027730086,0.4436654576167809,0.28760566696893275,2.45,0.0,0.0,1633.04,0.49623054698575286
foodsense_de,all,300,0.22,0.22,1.0,0.31408780366503913,0.5772426308504478,0.639469982122868,0.41220174097988993,2.9,0.0,0.0,1968.2033333333334,0.7352246163366363
foodsense_de,older_adult,100,0.2,0.2,1.0,0.284989092410238,0.5675653143645464,0.880881097565384,0.570014305104696,3.33,0.0,0.0,2232.2,0.859009230020456
foodsense_de,toddler,100,0.29,0.29,1.0,0.2704026461664859,0.6186461754137885,0.5938633911864389,0.3789852508660411,2.92,0.0,0.0,2039.37,0.8504340720036998
greedy,adult,100,0.68,0.33,0.96,0.38687167241839354,0.6955848416725519,0.8928444112759942,0.5348805584443234,3.8,0.51,0.04,541.75,0.11709403600776568
greedy,all,300,0.5133333333333333,0.2866666666666667,0.7733333333333333,0.31408780366503913,0.5685471355257078,0.8868586071487276,0.5305304135909513,3.84,0.5033333333333333,0.22666666666666666,537.3466666666667,0.14903533999730523
greedy,older_adult,100,0.44,0.23,0.73,0.284989092410238,0.5275307072850206,1.0287424328294315,0.585987904387236,4.18,0.55,0.27,578.96,0.17505567798390984
greedy,toddler,100,0.42,0.3,0.63,0.2704026461664859,0.48252585761955075,0.7389889773407573,0.47072277794129436,3.54,0.45,0.37,491.33,0.15495630600024016
wachter,adult,100,0.48,0.1,0.95,0.38687167241839354,0.638619505848023,0.8700917121872456,0.41498725650411045,5.72,0.55,0.05,2459.01,1.0016798559948803
wachter,all,300,0.3233333333333333,0.06666666666666667,0.6666666666666666,0.31408780366503913,0.4625395995714485,0.8974281607372318,0.431561390091351,5.953333333333333,0.56,0.3333333333333333,2648.483333333333,1.3296958903308647
wachter,older_adult,100,0.36,0.07,0.71,0.284989092410238,0.49806895640454746,1.13036081109263,0.5369744335835268,6.54,0.61,0.29,2605.31,1.3471108909836038
wachter,toddler,100,0.13,0.03,0.34,0.2704026461664859,0.25093033646177526,0.6918319589318196,0.3427224801864157,5.6,0.52,0.66,2881.13,1.64029692401411
wachter_restricted,adult,100,0.67,0.67,0.95,0.38687167241839354,0.6830202812196938,1.0169861658767667,0.5400582065832054,5.87,0.0,0.05,3250.72,0.9572715940000489
wachter_restricted,all,300,0.4033333333333333,0.4033333333333333,0.64,0.31408780366503913,0.47244546145518124,0.948217059722535,0.5029134664944276,5.8966666666666665,0.0,0.36,3129.0066666666667,1.1835734136697527
wachter_restricted,older_adult,100,0.4,0.4,0.7,0.284989092410238,0.5089365144294243,1.1121769991439332,0.5948150958206763,6.28,0.0,0.3,3057.63,1.2876579020009375
wachter_restricted,toddler,100,0.14,0.14,0.27,0.2704026461664859,0.22537958871642558,0.7154880141469051,0.3738670970794013,5.54,0.0,0.73,3078.67,1.305790745008271
