case,age_group,goal,method,valid,safe,score_before,score_after,norm_l1,norm_l2,n_changed,n_unavailable,n_hard_violations,evaluations,runtime_s,note
1,toddler,glycemic_control,wachter_restricted,0,1,0.038,0.67,0.4163,0.3341,4,0,0,4761,2.337,plateaued_without_validity
2,toddler,weight_management,wachter_restricted,0,1,0.0334,0.6943,1.1236,0.6799,5,0,0,4041,2.181,plateaued_without_validity
3,toddler,glycemic_control,wachter_restricted,0,1,0.0268,0.6885,1.2744,0.5158,8,0,0,3201,2.173,plateaued_without_validity
4,toddler,glycemic_control,wachter_restricted,1,1,0.0043,0.7272,0.605,0.2621,7,0,0,2521,1.949,valid_and_plateaued
5,toddler,glycemic_control,wachter_restricted,1,1,0.2372,0.759,0.9756,0.4964,6,0,0,3801,0.836,valid_and_plateaued
6,toddler,weight_management,wachter_restricted,0,0,0.0623,0.0659,0.0223,0.014,2,0,1,641,0.156,plateaued_without_validity
7,toddler,balanced_nutrition,wachter_restricted,1,1,0.6097,0.7181,0.2532,0.1779,2,0,0,4001,2.15,valid_and_plateaued
8,toddler,balanced_nutrition,wachter_restricted,0,1,0.6882,0.6833,0.0291,0.0248,1,0,0,641,0.557,plateaued_without_validity
9,toddler,weight_management,wachter_restricted,0,0,0.3204,0.0722,1.0974,0.4354,9,0,1,2521,0.545,plateaued_without_validity
10,toddler,glycemic_control,wachter_restricted,0,1,0.0384,0.6753,0.5037,0.3373,5,0,0,4441,3.113,plateaued_without_validity
11,toddler,weight_management,wachter_restricted,0,0,0.0032,0.069,0.5656,0.2892,4,0,1,4841,3.13,plateaued_without_validity
12,toddler,weight_management,wachter_restricted,0,0,0.0065,0.0071,0.152,0.0778,4,0,2,641,0.182,plateaued_without_validity
13,toddler,weight_management,wachter_restricted,0,0,0.48,0.07,1.2148,0.885,3,0,1,6001,2.806,evaluation_budget
14,toddler,weight_management,wachter_restricted,0,1,0.4628,0.617,0.0688,0.0538,2,0,0,5441,3.467,plateaued_without_validity
15,toddler,weight_management,wachter_restricted,0,0,0.4193,0.0702,0.2965,0.2192,3,0,1,6001,1.12,evaluation_budget
16,toddler,weight_management,wachter_restricted,1,1,0.3626,0.704,0.7723,0.5034,3,0,0,3081,1.658,valid_and_plateaued
17,toddler,weight_management,wachter_restricted,0,0,0.0029,0.0687,1.2638,0.6114,7,0,1,2401,1.618,plateaued_without_validity
18,toddler,weight_management,wachter_restricted,0,0,0.5274,0.0614,0.2346,0.1826,4,0,1,2721,0.535,plateaued_without_validity
19,toddler,weight_management,wachter_restricted,0,0,0.0041,0.0072,0.3665,0.1742,7,0,2,2481,0.572,plateaued_without_validity
20,toddler,balanced_nutrition,wachter_restricted,1,1,0.0434,0.707,1.0371,0.4155,8,0,0,1761,0.368,valid_and_plateaued
21,toddler,weight_management,wachter_restricted,0,0,0.6853,0.0687,0.0835,0.0576,3,0,1,6001,3.281,evaluation_budget
22,toddler,glycemic_control,wachter_restricted,0,0,0.5183,0.0693,0.6708,0.5999,1,0,1,4761,0.939,plateaued_without_validity
23,toddler,balanced_nutrition,wachter_restricted,1,1,0.4954,0.7349,0.8395,0.3453,7,0,0,3241,0.773,valid_and_plateaued
24,toddler,balanced_nutrition,wachter_restricted,1,1,0.0548,0.8093,0.7051,0.3185,5,0,0,3241,0.742,valid_and_plateaued
25,toddler,weight_management,wachter_restricted,0,1,0.5007,0.6707,1.1029,0.5346,7,0,0,2561,0.53,plateaued_without_validity
26,toddler,balanced_nutrition,wachter_restricted,0,0,0.0365,0.0067,1.1418,0.6682,5,0,2,3281,0.687,plateaued_without_validity
27,toddler,balanced_nutrition,wachter_restricted,1,1,0.5921,0.7191,0.1791,0.1544,2,0,0,6001,1.126,evaluation_budget
28,toddler,weight_management,wachter_restricted,0,1,0.029,0.6629,2.3986,1.3176,7,0,0,3161,1.719,plateaued_without_validity
29,toddler,weight_management,wachter_restricted,0,0,0.3538,0.0064,0.613,0.2907,6,0,2,2881,0.63,plateaued_without_validity
30,toddler,glycemic_control,wachter_restricted,1,1,0.0218,0.7009,0.7091,0.4665,4,0,0,2721,1.67,valid_and_plateaued
31,toddler,balanced_nutrition,wachter_restricted,0,1,0.3706,0.6691,0.667,0.277,12,0,0,1841,1.723,plateaued_without_validity
32,toddler,balanced_nutrition,wachter_restricted,1,1,0.0396,0.7644,1.6306,0.5984,10,0,0,3441,2.501,valid_and_plateaued
33,toddler,weight_management,wachter_restricted,0,0,0.0509,0.0709,0.9151,0.5672,4,0,1,2601,1.467,plateaued_without_validity
34,toddler,balanced_nutrition,wachter_restricted,0,1,0.5483,0.6878,0.4184,0.2543,5,0,0,1201,0.737,plateaued_without_validity
35,toddler,glycemic_control,wachter_restricted,0,0,0.2952,0.007,0.7848,0.2993,10,0,2,1601,0.378,plateaued_without_validity
36,toddler,glycemic_control,wachter_restricted,0,0,0.0054,0.0075,0.1687,0.0991,4,0,2,5921,1.205,plateaued_without_validity
37,toddler,glycemic_control,wachter_restricted,1,1,0.6736,0.7565,0.1727,0.0638,9,0,0,3441,2.878,valid_and_plateaued
38,toddler,balanced_nutrition,wachter_restricted,1,1,0.4937,0.7001,0.5923,0.2617,11,0,0,2801,2.318,valid_and_plateaued
39,toddler,balanced_nutrition,wachter_restricted,1,1,0.6856,0.7017,0.11,0.0709,2,0,0,641,0.159,valid_and_plateaued
40,toddler,weight_management,wachter_restricted,1,1,0.3192,0.7305,3.9955,2.1763,4,0,0,1321,0.265,valid_and_plateaued
41,toddler,glycemic_control,wachter_restricted,0,0,0.0666,0.0743,0.0048,0.0022,0,0,1,641,0.168,plateaued_without_validity
42,toddler,glycemic_control,wachter_restricted,0,0,0.0571,0.0688,0.6706,0.3224,5,0,1,5121,2.606,plateaued_without_validity
43,toddler,balanced_nutrition,wachter_restricted,1,1,0.4046,0.7598,0.7918,0.4753,5,0,0,1281,0.874,valid_and_plateaued
44,toddler,glycemic_control,wachter_restricted,0,1,0.5467,0.6658,0.369,0.2337,5,0,0,3041,1.903,plateaued_without_validity
45,toddler,glycemic_control,wachter_restricted,0,1,0.003,0.6853,2.1875,0.9372,10,0,0,1241,0.976,plateaued_without_validity
46,toddler,weight_management,wachter_restricted,0,0,0.0214,0.0789,0.5071,0.3171,5,0,1,6001,4.181,plateaued_without_validity
47,toddler,balanced_nutrition,wachter_restricted,0,0,0.0536,0.0798,1.6802,0.7947,7,0,1,2801,1.894,plateaued_without_validity
48,toddler,glycemic_control,wachter_restricted,1,1,0.6356,0.7164,0.1879,0.1097,4,0,0,3081,0.607,valid_and_plateaued
49,toddler,weight_management,wachter_restricted,0,0,0.2678,0.0624,0.3786,0.2165,5,0,1,4241,2.682,plateaued_without_validity
50,toddler,weight_management,wachter_restricted,1,1,0.6764,0.7293,0.0258,0.0177,2,0,0,1361,0.88,valid_and_plateaued
51,toddler,weight_management,wachter_restricted,0,0,0.047,0.0754,0.4361,0.213,8,0,1,3281,0.805,plateaued_without_validity
52,toddler,glycemic_control,wachter_restricted,1,1,0.7131,0.7087,0.0144,0.0076,1,0,0,641,0.162,valid_and_plateaued
53,toddler,glycemic_control,wachter_restricted,0,0,0.0611,0.0074,0.9272,0.5599,8,0,2,4241,2.497,plateaued_without_validity
54,toddler,glycemic_control,wachter_restricted,0,0,0.0523,0.0759,0.9162,0.3993,7,0,1,3401,0.72,plateaued_without_validity
55,toddler,glycemic_control,wachter_restricted,0,1,0.547,0.6849,0.1765,0.1185,4,0,0,1561,0.36,plateaued_without_validity
56,toddler,glycemic_control,wachter_restricted,0,0,0.037,0.0073,0.9571,0.4631,7,0,2,2081,0.457,plateaued_without_validity
57,toddler,weight_management,wachter_restricted,1,1,0.5139,0.714,1.152,0.4051,11,0,0,2081,0.457,valid_and_plateaued
58,toddler,glycemic_control,wachter_restricted,1,1,0.0308,0.7055,0.8946,0.4101,8,0,0,2521,1.732,valid_and_plateaued
59,toddler,balanced_nutrition,wachter_restricted,0,0,0.0452,0.0796,0.7051,0.3349,6,0,1,3641,2.477,plateaued_without_validity
60,toddler,weight_management,wachter_restricted,0,0,0.0385,0.0069,2.58,1.2504,5,0,2,6001,2.859,evaluation_budget
61,toddler,balanced_nutrition,wachter_restricted,0,0,0.0304,0.0729,1.4175,0.6817,7,0,1,4921,3.162,plateaued_without_validity
62,toddler,balanced_nutrition,wachter_restricted,0,1,0.3836,0.6735,1.4293,0.6357,7,0,0,3081,0.665,plateaued_without_validity
63,toddler,glycemic_control,wachter_restricted,0,1,0.4345,0.6167,0.1604,0.0959,3,0,0,5761,1.211,plateaued_without_validity
64,toddler,weight_management,wachter_restricted,0,0,0.0356,0.0067,1.119,0.5124,5,0,2,2441,1.302,plateaued_without_validity
65,toddler,balanced_nutrition,wachter_restricted,0,0,0.0208,0.0718,1.3375,0.833,4,0,1,2361,1.292,plateaued_without_validity
66,toddler,weight_management,wachter_restricted,1,1,0.4505,0.7843,0.1351,0.0852,3,0,0,6001,1.217,evaluation_budget
67,toddler,weight_management,wachter_restricted,1,1,0.7492,0.7412,0.0246,0.0149,1,0,0,641,0.145,valid_and_plateaued
68,toddler,glycemic_control,wachter_restricted,0,0,0.4255,0.0073,0.4442,0.2527,7,0,2,3801,0.833,plateaued_without_validity
69,toddler,balanced_nutrition,wachter_restricted,0,0,0.0539,0.0751,0.4229,0.2302,7,0,1,1321,0.308,plateaued_without_validity
70,toddler,weight_management,wachter_restricted,0,0,0.4292,0.0657,1.6582,0.7083,8,0,1,2201,1.397,plateaued_without_validity
71,toddler,weight_management,wachter_restricted,1,1,0.5842,0.735,0.3645,0.2331,4,0,0,1521,0.322,valid_and_plateaued
72,toddler,balanced_nutrition,wachter_restricted,0,0,0.0628,0.0746,0.5915,0.2619,11,0,1,1201,0.361,plateaued_without_validity
73,toddler,glycemic_control,wachter_restricted,1,1,0.042,0.715,3.0251,1.2446,8,0,0,2801,1.666,valid_and_plateaued
74,toddler,weight_management,wachter_restricted,0,0,0.4893,0.0068,0.3604,0.1784,7,0,2,6001,3.798,evaluation_budget
75,toddler,balanced_nutrition,wachter_restricted,0,1,0.6011,0.6508,0.215,0.1175,5,0,0,5641,1.086,plateaued_without_validity
76,toddler,balanced_nutrition,wachter_restricted,1,1,0.0043,0.7072,1.1538,0.697,10,0,0,1241,1.124,valid_and_plateaued
77,toddler,weight_management,wachter_restricted,0,0,0.0337,0.0648,0.1765,0.1435,1,0,1,5041,3.282,plateaued_without_validity
78,toddler,balanced_nutrition,wachter_restricted,0,0,0.0047,0.0743,0.8842,0.5339,7,0,1,2961,2.076,plateaued_without_validity
79,toddler,glycemic_control,wachter_restricted,0,0,0.0541,0.0721,0.1308,0.1171,1,0,1,2761,1.558,plateaued_without_validity
80,toddler,glycemic_control,wachter_restricted,0,1,0.4742,0.4204,0.5297,0.5293,1,0,0,641,0.145,plateaued_without_validity
81,toddler,glycemic_control,wachter_restricted,0,0,0.0586,0.0715,0.409,0.2288,4,0,1,3801,0.847,plateaued_without_validity
82,toddler,glycemic_control,wachter_restricted,1,1,0.6245,0.7068,0.3933,0.1943,8,0,0,2041,1.456,valid_and_plateaued
83,toddler,glycemic_control,wachter_restricted,0,0,0.4806,0.0709,1.0738,0.6898,3,0,1,4921,2.252,plateaued_without_validity
84,toddler,glycemic_control,wachter_restricted,1,1,0.4643,0.7065,1.1707,0.5839,5,0,0,2681,1.569,valid_and_plateaued
85,toddler,glycemic_control,wachter_restricted,0,0,0.043,0.0734,1.23,0.5183,6,0,1,2401,0.535,plateaued_without_validity
86,toddler,weight_management,wachter_restricted,0,0,0.4288,0.0667,0.4242,0.2364,5,0,1,3641,2.067,plateaued_without_validity
87,toddler,weight_management,wachter_restricted,0,1,0.0521,0.5282,0.0103,0.0072,1,0,0,641,0.665,plateaued_without_validity
88,toddler,balanced_nutrition,wachter_restricted,1,1,0.6869,0.7704,0.0762,0.0492,3,0,0,6001,1.246,evaluation_budget
89,toddler,glycemic_control,wachter_restricted,0,1,0.6298,0.6943,0.0051,0.0036,0,0,0,641,0.128,plateaued_without_validity
90,toddler,glycemic_control,wachter_restricted,0,0,0.0454,0.0073,0.1939,0.1156,4,0,2,5361,2.939,plateaued_without_validity
91,toddler,weight_management,wachter_restricted,0,0,0.0472,0.0006,0.249,0.1171,7,0,3,3561,2.359,plateaued_without_validity
92,toddler,balanced_nutrition,wachter_restricted,0,0,0.0004,0.0073,0.8249,0.3251,10,0,2,1201,0.36,plateaued_without_validity
93,toddler,balanced_nutrition,wachter_restricted,0,0,0.0419,0.0748,0.3455,0.1849,4,0,1,3561,2.487,plateaued_without_validity
94,toddler,balanced_nutrition,wachter_restricted,1,1,0.4037,0.7784,0.3528,0.1546,7,0,0,4761,1.118,valid_and_plateaued
95,toddler,glycemic_control,wachter_restricted,1,1,0.6943,0.7064,0.0512,0.0428,1,0,0,641,0.127,valid_and_plateaued
96,toddler,weight_management,wachter_restricted,0,1,0.435,0.6417,0.3293,0.2048,4,0,0,3401,0.672,plateaued_without_validity
97,toddler,weight_management,wachter_restricted,0,0,0.0028,0.0068,0.6587,0.2931,8,0,2,3321,0.779,plateaued_without_validity
98,toddler,balanced_nutrition,wachter_restricted,0,0,0.0496,0.0677,2.5276,1.4326,5,0,1,1121,0.241,plateaued_without_validity
99,toddler,balanced_nutrition,wachter_restricted,0,0,0.0006,0.0007,0.0058,0.0023,0,0,3,641,0.679,plateaued_without_validity
100,toddler,balanced_nutrition,wachter_restricted,0,1,0.5796,0.5795,0.0082,0.0075,1,0,0,641,0.509,plateaued_without_validity
101,adult,glycemic_control,wachter_restricted,1,1,0.2882,0.7005,0.9422,0.5884,7,0,0,2601,0.499,valid_and_plateaued
102,adult,balanced_nutrition,wachter_restricted,1,1,0.3123,0.7426,1.2113,0.5594,7,0,0,3201,0.694,valid_and_plateaued
103,adult,weight_management,wachter_restricted,0,1,0.4449,0.6954,1.685,0.7754,9,0,0,2281,0.512,plateaued_without_validity
104,adult,weight_management,wachter_restricted,1,1,0.408,0.7375,1.0211,0.5518,8,0,0,2641,0.591,valid_and_plateaued
105,adult,glycemic_control,wachter_restricted,0,1,0.1905,0.6769,1.2846,0.6586,6,0,0,3801,0.75,plateaued_without_validity
106,adult,weight_management,wachter_restricted,1,1,0.6666,0.8374,0.2,0.1143,4,0,0,1041,0.225,valid_and_plateaued
107,adult,balanced_nutrition,wachter_restricted,1,1,0.5224,0.752,0.3745,0.3132,2,0,0,5121,0.996,valid_and_plateaued
108,adult,balanced_nutrition,wachter_restricted,0,1,0.6824,0.6714,0.0291,0.0248,1,0,0,641,0.142,plateaued_without_validity
109,adult,weight_management,wachter_restricted,0,1,0.2592,0.6784,1.7287,0.6379,9,0,0,1481,0.305,plateaued_without_validity
110,adult,weight_management,wachter_restricted,0,1,0.2629,0.6579,0.4805,0.3128,5,0,0,3841,0.814,plateaued_without_validity
111,adult,weight_management,wachter_restricted,0,1,0.1383,0.6876,1.172,0.5035,9,0,0,3521,0.771,plateaued_without_validity
112,adult,balanced_nutrition,wachter_restricted,1,1,0.4024,0.758,0.5868,0.3815,9,0,0,3001,0.769,valid_and_plateaued
113,adult,weight_management,wachter_restricted,0,1,0.6022,0.6853,1.2428,0.8698,2,0,0,5441,0.987,plateaued_without_validity
114,adult,balanced_nutrition,wachter_restricted,1,1,0.4156,0.7771,0.4062,0.2062,6,0,0,3281,0.668,valid_and_plateaued
115,adult,balanced_nutrition,wachter_restricted,0,1,0.3602,0.6119,0.8984,0.4665,5,0,0,4681,0.914,plateaued_without_validity
116,adult,weight_management,wachter_restricted,1,1,0.4023,0.7291,1.4298,0.7702,6,0,0,1881,0.37,valid_and_plateaued
117,adult,weight_management,wachter_restricted,0,1,0.2552,0.6506,2.1394,1.1338,6,0,0,2241,0.462,plateaued_without_validity
118,adult,weight_management,wachter_restricted,0,1,0.4574,0.6972,0.5765,0.3717,4,0,0,4881,0.863,plateaued_without_validity
119,adult,weight_management,wachter_restricted,1,1,0.368,0.7105,0.8965,0.3112,11,0,0,1521,0.329,valid_and_plateaued
120,adult,balanced_nutrition,wachter_restricted,1,1,0.3308,0.7533,1.0426,0.5282,7,0,0,2241,0.468,valid_and_plateaued
121,adult,weight_management,wachter_restricted,0,1,0.6569,0.6815,0.4441,0.2529,5,0,0,3321,0.653,plateaued_without_validity
122,adult,weight_management,wachter_restricted,1,1,0.4683,0.7233,2.5661,2.4201,3,0,0,6001,1.106,evaluation_budget
123,adult,weight_management,wachter_restricted,0,1,0.5897,0.612,0.0496,0.0332,2,0,0,641,0.149,plateaued_without_validity
124,adult,weight_management,wachter_restricted,0,1,0.4909,0.6565,1.4312,0.6415,6,0,0,3121,0.711,plateaued_without_validity
125,adult,balanced_nutrition,wachter_restricted,1,1,0.4154,0.8062,2.0146,1.1565,7,0,0,1961,0.418,valid_and_plateaued
126,adult,balanced_nutrition,wachter_restricted,1,1,0.3286,0.7204,0.8842,0.5557,3,0,0,3841,0.723,valid_and_plateaued
127,adult,balanced_nutrition,wachter_restricted,1,1,0.4359,0.7344,0.7463,0.4861,4,0,0,2081,0.404,valid_and_plateaued
128,adult,balanced_nutrition,wachter_restricted,0,1,0.2779,0.6473,1.9069,1.0635,7,0,0,3121,0.572,plateaued_without_validity
129,adult,glycemic_control,wachter_restricted,1,1,0.1827,0.7133,1.2222,0.5169,6,0,0,2041,0.414,valid_and_plateaued
130,adult,glycemic_control,wachter_restricted,0,1,0.1609,0.697,0.6182,0.4391,4,0,0,3681,0.7,plateaued_without_validity
131,adult,balanced_nutrition,wachter_restricted,0,1,0.1702,0.6158,0.4307,0.1886,10,0,0,2121,0.5,plateaued_without_validity
132,adult,glycemic_control,wachter_restricted,1,1,0.3332,0.7202,2.0517,0.8989,9,0,0,2081,0.444,valid_and_plateaued
133,adult,glycemic_control,wachter_restricted,1,1,0.2339,0.7075,0.9898,0.5566,4,0,0,4281,0.827,valid_and_plateaued
134,adult,balanced_nutrition,wachter_restricted,1,1,0.713,0.7274,0.2286,0.1542,5,0,0,2161,0.4,valid_and_plateaued
135,adult,glycemic_control,wachter_restricted,0,1,0.2542,0.693,0.5696,0.2394,9,0,0,2761,0.595,plateaued_without_validity
136,adult,balanced_nutrition,wachter_restricted,0,1,0.3706,0.663,1.0553,0.7712,5,0,0,4161,0.865,plateaued_without_validity
137,adult,glycemic_control,wachter_restricted,1,1,0.5979,0.7714,0.3284,0.1196,10,0,0,1281,0.298,valid_and_plateaued
138,adult,weight_management,wachter_restricted,1,1,0.5596,0.7573,0.209,0.1397,6,0,0,6001,1.316,evaluation_budget
139,adult,balanced_nutrition,wachter_restricted,1,1,0.5198,0.7047,0.1424,0.0791,4,0,0,6001,1.24,evaluation_budget
140,adult,glycemic_control,wachter_restricted,1,1,0.1799,0.7213,3.8364,1.772,6,0,0,2881,0.546,valid_and_plateaued
141,adult,balanced_nutrition,wachter_restricted,1,1,0.3807,0.8039,0.2668,0.1362,7,0,0,4641,1.016,valid_and_plateaued
142,adult,balanced_nutrition,wachter_restricted,1,1,0.4305,0.7515,1.1152,0.5648,7,0,0,3361,0.723,valid_and_plateaued
143,adult,balanced_nutrition,wachter_restricted,1,1,0.3071,0.7002,0.5157,0.3309,5,0,0,6001,1.211,evaluation_budget
144,adult,weight_management,wachter_restricted,1,1,0.5394,0.7614,0.2816,0.1843,3,0,0,5441,1.091,valid_and_plateaued
145,adult,glycemic_control,wachter_restricted,0,1,0.2412,0.6977,0.9583,0.4912,6,0,0,4401,0.861,plateaued_without_validity
146,adult,weight_management,wachter_restricted,0,1,0.0509,0.6824,0.6506,0.3389,7,0,0,4121,0.943,plateaued_without_validity
147,adult,balanced_nutrition,wachter_restricted,1,1,0.4061,0.7628,4.4315,1.6797,13,0,0,3161,0.669,valid_and_plateaued
148,adult,glycemic_control,wachter_restricted,1,1,0.6393,0.7372,0.446,0.2721,5,0,0,2561,0.494,valid_and_plateaued
149,adult,weight_management,wachter_restricted,0,1,0.4139,0.6708,0.4906,0.2583,4,0,0,4041,0.818,plateaued_without_validity
150,adult,weight_management,wachter_restricted,0,1,0.6885,0.6871,0.0016,0.0008,0,0,0,641,0.132,plateaued_without_validity
151,adult,balanced_nutrition,wachter_restricted,1,1,0.4879,0.7697,0.6562,0.3544,6,0,0,2721,0.599,valid_and_plateaued
152,adult,glycemic_control,wachter_restricted,0,1,0.6077,0.5965,0.0144,0.0076,1,0,0,641,0.151,plateaued_without_validity
153,adult,balanced_nutrition,wachter_restricted,0,1,0.5467,0.6713,1.3063,0.8745,7,0,0,2321,0.466,plateaued_without_validity
154,adult,glycemic_control,wachter_restricted,1,1,0.422,0.7249,2.1931,0.8794,9,0,0,1881,0.411,valid_and_plateaued
155,adult,weight_management,wachter_restricted,0,1,0.4795,0.6953,0.5346,0.3628,3,0,0,3121,0.601,plateaued_without_validity
156,adult,balanced_nutrition,wachter_restricted,0,1,0.2615,0.6927,1.8763,1.1453,7,0,0,801,0.17,plateaued_without_validity
157,adult,weight_management,wachter_restricted,1,1,0.4572,0.7373,2.1748,0.8007,12,0,0,2401,0.5,valid_and_plateaued
158,adult,glycemic_control,wachter_restricted,1,1,0.1868,0.7118,1.3646,0.5433,11,0,0,3841,0.832,valid_and_plateaued
159,adult,weight_management,wachter_restricted,1,1,0.3219,0.7282,1.0848,0.438,7,0,0,3001,0.63,valid_and_plateaued
160,adult,balanced_nutrition,wachter_restricted,1,1,0.4384,0.7385,7.28,4.305,6,0,0,2561,0.474,valid_and_plateaued
161,adult,balanced_nutrition,wachter_restricted,1,1,0.2655,0.7116,2.7579,1.1613,10,0,0,2361,0.563,valid_and_plateaued
162,adult,balanced_nutrition,wachter_restricted,0,1,0.2895,0.694,2.3867,1.0344,9,0,0,3201,0.693,plateaued_without_validity
163,adult,glycemic_control,wachter_restricted,1,1,0.5041,0.7574,0.1439,0.0919,2,0,0,6001,1.225,evaluation_budget
164,adult,balanced_nutrition,wachter_restricted,1,1,0.2039,0.755,2.3,1.2983,4,0,0,2481,0.463,valid_and_plateaued
165,adult,glycemic_control,wachter_restricted,1,1,0.22,0.7344,0.5938,0.3293,4,0,0,2641,0.503,valid_and_plateaued
166,adult,weight_management,wachter_restricted,1,1,0.4287,0.7648,0.2857,0.1552,4,0,0,4281,0.868,valid_and_plateaued
167,adult,weight_management,wachter_restricted,0,1,0.6917,0.6819,0.0496,0.0238,2,0,0,641,0.15,plateaued_without_validity
168,adult,weight_management,wachter_restricted,0,1,0.5526,0.6435,0.1432,0.0718,4,0,0,641,0.148,plateaued_without_validity
169,adult,balanced_nutrition,wachter_restricted,1,1,0.5075,0.7178,0.3375,0.1944,5,0,0,3041,0.639,valid_and_plateaued
170,adult,weight_management,wachter_restricted,1,1,0.4165,0.7063,1.8152,0.9287,7,0,0,2681,0.537,valid_and_plateaued
171,adult,balanced_nutrition,wachter_restricted,1,1,0.3898,0.725,0.6476,0.3673,4,0,0,2801,0.598,valid_and_plateaued
172,adult,weight_management,wachter_restricted,1,1,0.7641,0.7852,0.0566,0.0234,5,0,0,641,0.154,valid_and_plateaued
173,adult,glycemic_control,wachter_restricted,1,1,0.4851,0.7557,5.5877,3.3388,6,0,0,1521,0.321,valid_and_plateaued
174,adult,balanced_nutrition,wachter_restricted,1,1,0.4522,0.7176,0.1989,0.1275,4,0,0,5081,1.034,valid_and_plateaued
175,adult,glycemic_control,wachter_restricted,1,1,0.3874,0.74,0.2077,0.167,2,0,0,4201,0.778,valid_and_plateaued
176,adult,balanced_nutrition,wachter_restricted,0,1,0.5182,0.6896,0.8567,0.3935,11,0,0,1641,0.378,plateaued_without_validity
177,adult,glycemic_control,wachter_restricted,1,1,0.4618,0.7143,0.1229,0.0977,2,0,0,5481,1.099,valid_and_plateaued
178,adult,balanced_nutrition,wachter_restricted,1,1,0.2871,0.7248,0.9801,0.5557,7,0,0,2481,0.516,valid_and_plateaued
179,adult,glycemic_control,wachter_restricted,1,1,0.5038,0.7289,0.2561,0.2385,1,0,0,5041,0.951,valid_and_plateaued
180,adult,balanced_nutrition,wachter_restricted,1,1,0.4276,0.7421,0.8544,0.5608,6,0,0,1521,0.325,valid_and_plateaued
181,adult,glycemic_control,wachter_restricted,1,1,0.4837,0.7003,0.9254,0.4052,7,0,0,4201,0.893,valid_and_plateaued
182,adult,glycemic_control,wachter_restricted,1,1,0.5397,0.721,0.5127,0.2182,8,0,0,3881,0.827,valid_and_plateaued
183,adult,weight_management,wachter_restricted,1,1,0.4733,0.7136,4.6605,2.2714,6,0,0,1201,0.271,valid_and_plateaued
184,adult,glycemic_control,wachter_restricted,1,1,0.484,0.8261,2.3945,1.5665,5,0,0,1401,0.289,valid_and_plateaued
185,adult,weight_management,wachter_restricted,1,1,0.4631,0.8388,1.9367,0.9826,6,0,0,1681,0.342,valid_and_plateaued
186,adult,weight_management,wachter_restricted,0,1,0.5085,0.6626,0.4642,0.2786,5,0,0,6001,1.171,evaluation_budget
187,adult,glycemic_control,wachter_restricted,0,1,0.5415,0.5956,0.0103,0.0072,1,0,0,641,0.163,plateaued_without_validity
188,adult,weight_management,wachter_restricted,1,1,0.6283,0.743,0.0719,0.0452,2,0,0,6001,1.187,evaluation_budget
189,adult,glycemic_control,wachter_restricted,0,1,0.5944,0.6972,0.2727,0.2677,2,0,0,5281,0.899,plateaued_without_validity
190,adult,glycemic_control,wachter_restricted,1,1,0.3983,0.7236,1.0373,0.5842,7,0,0,2241,0.482,valid_and_plateaued
191,adult,balanced_nutrition,wachter_restricted,1,1,0.3513,0.7205,0.7421,0.5041,6,0,0,4121,0.867,valid_and_plateaued
192,adult,balanced_nutrition,wachter_restricted,0,1,0.2879,0.6344,0.6549,0.2578,8,0,0,2361,0.56,plateaued_without_validity
193,adult,weight_management,wachter_restricted,1,1,0.4309,0.7147,0.2732,0.1649,5,0,0,5641,1.112,valid_and_plateaued
194,adult,balanced_nutrition,wachter_restricted,1,1,0.3119,0.7548,0.8224,0.2814,12,0,0,2121,0.472,valid_and_plateaued
195,adult,glycemic_control,wachter_restricted,1,1,0.6352,0.7281,0.1012,0.0918,1,0,0,5521,0.981,valid_and_plateaued
196,adult,glycemic_control,wachter_restricted,1,1,0.5802,0.7131,0.5344,0.2993,4,0,0,3201,0.595,valid_and_plateaued
197,adult,weight_management,wachter_restricted,0,1,0.2287,0.6787,0.8994,0.4928,9,0,0,3881,0.85,plateaued_without_validity
198,adult,balanced_nutrition,wachter_restricted,1,1,0.4643,0.7154,1.9517,0.7693,9,0,0,2161,0.46,valid_and_plateaued
199,adult,balanced_nutrition,wachter_restricted,0,1,0.5621,0.559,0.0996,0.0475,5,0,0,641,0.157,plateaued_without_validity
200,adult,weight_management,wachter_restricted,1,1,0.7434,0.7431,0.0082,0.0075,1,0,0,641,0.135,valid_and_plateaued
201,older_adult,glycemic_control,wachter_restricted,0,0,0.0,0.0001,1.008,0.4932,7,0,4,881,0.199,plateaued_without_validity
202,older_adult,balanced_nutrition,wachter_restricted,1,1,0.2864,0.7793,1.4358,0.7117,7,0,0,1241,0.25,valid_and_plateaued
203,older_adult,balanced_nutrition,wachter_restricted,0,0,0.0,0.0,2.2623,1.227,10,0,9,1641,1.413,plateaued_without_validity
204,older_adult,balanced_nutrition,wachter_restricted,1,1,0.2875,0.7193,0.8497,0.4513,7,0,0,2041,1.578,valid_and_plateaued
205,older_adult,weight_management,wachter_restricted,0,1,0.3413,0.6741,1.5659,0.6583,9,0,0,3401,0.741,plateaued_without_validity
206,older_adult,glycemic_control,wachter_restricted,0,1,0.6676,0.6803,0.0223,0.014,2,0,0,641,0.149,plateaued_without_validity
207,older_adult,glycemic_control,wachter_restricted,1,1,0.5082,0.724,0.4553,0.2941,4,0,0,3161,0.639,valid_and_plateaued
208,older_adult,glycemic_control,wachter_restricted,0,1,0.0683,0.6857,0.0291,0.0248,1,0,0,641,0.54,plateaued_without_validity
